contract,number_of_owners
0x1c26da604221466976beeb509698152ba8a3a13f,4993
0x1cd6edb761ed1d68c3cc3c5b9b3e9460887fd139,2719
0x2b21d07c98905f48a71100af2b58c069be4d0a2a,1930
0x3d72ddd35cadb4e5b22cdb20b36f98077be84284,3740
0x487d52e1e07c0f39c4a3b78a53ac0953cd90db9b,776
0x0178a9d0b0cba1b2ede3afdb6dd021db24ff4240,1615
0x0291e6c2094fb96628732a707be55a54b4228b5f,816
0x093414b375ece9ef24dfa3aa34ab14a4b4c244c9,486
0x09cc2837da731d487ba5a7789ea7f35e20aa9fcf,132
0x0bdef3d84b72031dd38fed41d3202becb2e8aef3,255
0x00f4CE400130C9383115f3858F9CA54677426583,149
0x1b97100eA1D7126C4d60027e231EA4CB25314bdb,352
0x1c80CE0D97B15e4f7a3914CABf60E88F97D6E806,39
0x2751dB789ab49e4f1CFA192831c19D8f40c708c9,51
0x3Af5B38519D2289eCE541B5e7DA4b53C26DBb07E,67
0x60e4d786628fea6478f785a6d7e704777c86a7c6,11746