Address,Balance
"0x79d922dd382e42a156bc0a354861cdbc4f09110d","2103434.600197453394917736"
"0xda0901636fbbb73cf7b1dfb747ba6352277065b5","1746443.821634150371739078"
"0xedbab5dfaa165919dfa94101c266e48c4e82d8fd","881657.175895401835711341"
"0xeeeeee9ec4769a09a76a83c7bc42b185872860ee","423397.061298531062582899"
"0xa1d63fd669276f4779274e5dbbdd0d20a031d2f4","321949.305396071759089543"
"0x1d3a594eaf472ca2cec2a8ae44478c06d6a37e22","264490.478720087439511009"
"0xf5042e6ffac5a625d4e7848e0b01373d8eb9e222","235866.342507535711860976"
"0xed91107d6393ea4e025d29ceba12d72d14111d42","91075.792589517429411263"
"0x92a30698e56091f50a2a12947593a6cc46c55e39","84954.108311970584980343"
"0xd2f0ac2012c8433f235c8e5e97f2368197dd06c7","82775.218628689952501407"
"0x5129750f8c36b794e564d3fc5ef01c283d79ec36","57742.4160126988826294"
"0x0389879e0156033202c44bf784ac18fc02edee4f","28700.818428757044394429"
"0xa1bea5fe917450041748dbbbe7e9ac57a4bbebab","15261.113743523405639377"
"0x000000000000fea5f4b241f9e77b4d43b76798a9","9592.258107255141870107"
"0x9572cbe40ff2ed3dd1a4c0fa1c4a89bae0decccb","1631.643926472999998148"
"0x252999a4ec069352a9be309368e4acf2ffd06287","725.548503339668357"
"0xca13a0a221ef0c5a1343ff262c94d6eb58562e59","350.990373393529257828"
"0xa7cbeb34878764a6cf3247460b4cabb7b513d8b8","281.957400980000006844"
"0xc0b072cd010879a709313a73e79dc4fc8ef172bc","144.15371680450128306"
"0x5ae0fbaa2e302b80dab598e9018025f4d13cb063","103.17015594100000002"
"0x341673ad8c6e6db119167f690ac2e0d90a05bb68","69.5"
"0xdec443e9ee63d4521864758cdc09e4c5f3066ca6","68.998806650528868546"
"0x353e1d823906da4737ab5e8b97fd6205bccd6f7d","33.3599"
"0x9e4da0e36b0985d7efae748626fb976b7c0c41a0","33.219289786289247413"
"0x6aeb9b27590387b8fd0560c52f6b968c59c10fab","26.499096592950596795"
"0xe5d04269e38dd6aaba32ca0a8970fb31185c64a7","19.599925516662104899"
"0x29e706b31617c3710a5cde291579e49c275514f0","19.126799999999919014"
"0x00000012ec7f8928bd4deb14da43d53184ad6a51","19.0045"
"0xaec416eedcbbf56722b0dca63c62bc29518e108a","18.898997801267595022"
"0x5a66dd1990e616cf8f2f98a24a3d1fbb4456b699","16.16721107448575"
"0x46b65f8abb540c1a602e14223687b61f3e927337","14.229"
"0x0786a24145fef2c60a38237e8671332899ce7c1f","13.040448495603808347"
"0xfff4b341f8affc72bc085db10a53dd439238556a","12.08200898776209164"
"0x5a64c0fc833991f6d5ee6ee41ed23f39422cb934","11"
"0x8c7ba8f245aef3216698087461e05b85483f791f","9.3429355"
"0xdcf645c7c245f4b34260374828a013d81875e642","9.279261077797609872"
"0x406fb58b9e177b66df38321c2a5a7c12d1796348","8.19879945446845028"
"0xf3cbae70eeb6536c5eacf9090f1ab343d75e38bd","5.5"
"0x174c4c03dfea09682728a5959a253bf1f7c7766f","3.794961890396148275"
"0x1017378c6241e8d83bd9be29644f7085b69dd0f3","2.129510983338293475"
"0x106ffdb6591f7d22702a5163f0aca8cf0794f430","0.70875"
"0xc513fb4b979f1cefc43682ca7ab4a19cee1cacc2","0.506866421643405371"
"0x1ab9ddc71ff97ba72094da63f6475da0e7ee5cfe","0.444532233049374394"
"0x7d44a1b3bd013d579b60d0cbeec012fd288bb0db","0.341327281917490355"
"0x82bda8857bfebac3e8dad0e79a93a47d193a51fc","0.30845"
"0x859d0c954abbc9d05c9d79512f334e098b8c6e1c","0.30845"
"0xb622bd4536a9d81cd938ade49b735261f8c2d6c2","0.161190410273917988"
"0x303052148a78a692d7aa89bad454f3e91785488d","0.1312"
"0x5b0b89a2c12c8b7b52b528c3894f571e5d57cb1a","0.072249957255314551"
"0x9a9a0793e7c8c88617b882cf67a190e6ce0098e6","0.000012598873701289"
"0x7b95b5fbc59f452f896daecb5be7c032637c4ef9","0.000000037345673922"
"0x030462053869121e2c4e65ba9dd31490e94cb8df","0.000000000000002039"
"0x1f87868b208842ec7441838180bdd32f4d581cbc","0.000000000000002036"
"0x0d609736cbe775380b54f5999cd8d065b41c7a83","0.000000000000002033"
"0x59c530055daaf3bc8216570897d0957481319ae4","0.000000000000002031"